,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_CITY,CAND_ST,CAND_ZIP,candidatevotes,totalvotes,VOTE_percent,WINNER
570,H4MA05084,"CLARK, KATHERINE",DEM,2016,MA,H,5.0,I,C,C00541888,MALDEN,MA,2148.0,285606,385455,0.7409580884928202,1
572,H6FL11126,"CASTOR, KATHY",DEM,2016,FL,H,14.0,I,C,C00410761,TAMPA,FL,33606.0,195789,316877,0.6178706564376714,1
573,H6TX12060,"GRANGER, KAY",REP,2016,TX,H,12.0,I,C,C00310532,FORT WORTH,TX,761076556.0,196482,283115,0.6940006711053812,1
575,H6MN05183,"ELLISON, KEITH MAURICE",DEM,2016,MN,H,5.0,I,C,C00422410,MINNEAPOLIS,MN,55406.0,249957,361875,0.6907274611398964,1
576,H0PA04220,"ROTHFUS, KEITH MR.",REP,2016,PA,H,12.0,I,C,C00497115,SEWICKLEY,PA,15143.0,221851,359204,0.6176184006859612,1
577,H6OH16136,"MUNDY, KEITH FRANCIS",DEM,2016,OH,H,16.0,C,P,C00607671,PARMA,OH,44134.0,119830,345624,0.3467062472513483,0
579,H4CO04090,"BUCK, KENNETH R",REP,2016,CO,H,4.0,I,C,C00573378,GREELEY,CO,80633.0,248230,390633,0.6354557858655054,1
580,H2CA37023,"CALVERT, KEN",REP,2016,CA,H,42.0,I,C,C00257337,CORONA,CA,92882.0,149547,254236,0.588221180320647,1
582,H6FL03081,"MCGURN, KENNETH RANDOL",DEM,2016,FL,H,3.0,C,N,C00620658,GAINESVILLE,FL,32601.0,136338,342700,0.39783484096877736,0
585,H6CA33106,"WRIGHT, KENNETH W DR.",REP,2016,CA,H,33.0,C,C,C00608430,REDONDO BEACH,CA,90277.0,110822,330219,0.3356015250485284,0
586,H4TX24094,"MARCHANT, KENNY E MR.",REP,2016,TX,H,24.0,I,C,C00393348,CARROLLTON,TX,750110187.0,154845,275635,0.5617755364884721,1
588,H4PA05062,"TAYLOR, KERITH STRANO",DEM,2016,PA,H,5.0,C,C,C00555458,BROOKVILLE,PA,15825.0,101082,307843,0.328355687801899,0
589,H2MI11133,"BENTIVOLIO, KERRY",REP,2016,MI,H,11.0,C,C,C00619734,WALLED LAKE,MI,48390.0,16610,379488,0.04376949995783793,0
592,H6TX08100,"BRADY, KEVIN",REP,2016,TX,H,8.0,I,C,C00311043,THE WOODLANDS,TX,773878277.0,236379,236379,1.0,1
593,H0ND01026,"CRAMER, KEVIN MR.",REP,2016,ND,H,0.0,I,C,C00504704,BISMARCK,ND,58502.0,233980,338459,0.6913097302775225,1
594,H6CA22125,"MCCARTHY, KEVIN",REP,2016,CA,H,23.0,I,C,C00420935,BAKERSFIELD,CA,933892667.0,167116,241584,0.6917511093449897,1
597,H0KS03137,"YODER, KEVIN",REP,2016,KS,H,3.0,I,C,C00472365,OVERLAND PARK,KS,662073029.0,176022,343113,0.5130146628078797,1
598,H6WI05110,"PENEBAKER, KHARY",DEM,2016,WI,H,5.0,C,P,C00607929,HARTLAND,WI,53029.0,114477,390844,0.2928969102762227,0
600,H6IA04134,"WEAVER, KIMBERLY",DEM,2016,IA,H,4.0,C,C,C00584284,SHELDON,IA,51201.0,142993,370259,0.3861972295069127,0
601,H0SD00054,"NOEM, KRISTI LYNN",REP,2016,SD,H,0.0,I,C,C00476853,SIOUX FALLS,SD,571017101.0,237163,369973,0.6410278587896955,1
603,H8OR05107,"SCHRADER, KURT",DEM,2016,OR,H,5.0,I,C,C00446906,CANBY,OR,97013.0,199505,373108,0.5347111292172776,1
605,H2AZ09019,"SINEMA, KYRSTEN",DEM,2016,AZ,H,9.0,I,C,C00508804,TEMPE,AZ,85285.0,169055,277507,0.6091918402058326,1
607,H6TX21012,"SMITH, LAMAR",REP,2016,TX,H,21.0,I,C,C00197160,SAN ANTONIO,TX,782090155.0,202967,356031,0.5700823804668694,1
608,H0IN08114,"BUCSHON, LARRY D.",REP,2016,IN,H,8.0,I,C,C00468256,NEWBURGH,IN,47629.0,187702,294713,0.6368975918944871,1
610,H6SC06119,"STERLING, LAURA MARIE MRS",REP,2016,SC,H,6.0,C,N,C00612291,BLUFFTON,SC,29910.0,70099,253901,0.2760879240333831,0
612,H6NJ03150,"BERLINSKI, LAWRENCE WAYNE MR. JR.",CON,2016,NJ,H,3.0,C,N,C00624742,BAYVILLE,NJ,8721.0,5938,328060,0.01810034749740901,0
617,H4NC12142,"THREATT, ARCHIE LEON",REP,2016,NC,H,12.0,C,P,C00603498,MATTHEWS,NC,28105.0,115185,349300,0.32975951903807615,0
619,H6NJ12136,"LANCE, LEONARD",REP,2016,NJ,H,7.0,I,C,C00444224,COLONIA,NJ,7067.0,185850,343635,0.5408354795058711,1
620,H8MI05108,"SCHWARTZ, LEONARD",LIB,2016,MI,H,4.0,C,N,C00620039,OAK PARK,MI,482371147.0,8516,315751,0.026970619253779086,0
621,H2CA39078,"SANCHEZ, LINDA",DEM,2016,CA,H,38.0,I,C,C00384057,LAKEWOOD,CA,90714.0,163590,232114,0.7047829945630164,1
622,H6DE00206,"ROCHESTER, LISA BLUNT",DEM,2016,DE,H,0.0,O,C,C00590778,WILMINGTON,DE,19809.0,233554,420617,0.5552652413002803,1
623,H6MI10243,"GIOIA, LISA LANE",LIB,2016,MI,H,10.0,O,N,C00619841,WEST BLOOMFIELD,MI,48322.0,10612,340983,0.03112178613010033,0
625,H4TX10028,"DOGGETT, LLOYD",DEM,2016,TX,H,35.0,I,C,C00286500,AUSTIN,TX,78702.0,124612,197576,0.630704134105357,1
627,H2FL14053,"FRANKEL, LOIS J.",DEM,2016,FL,H,21.0,I,C,C00494856,BOCA RATON,FL,33481.0,210606,335861,0.6270629814119532,1
628,H6MI01200,"JOHNSON, LONNIE BARTON",DEM,2016,MI,H,1.0,C,P,C00581231,KALKASKA,MI,49646.0,144334,360271,0.40062619528077476,0
631,H6TX18141,"BARTLEY, LORI ANITA MRS.",REP,2016,TX,H,18.0,C,C,C00582528,HOUSTON,TX,77238.0,48306,204308,0.23643714391996398,0
632,H6NJ04158,"PHILLIPSON, LORNA",DEM,2016,NJ,H,4.0,C,P,C00607424,SPRING LAKE HEIGHTS,NJ,7762.0,111532,332684,0.33524906517896863,0
633,H2PA11098,"BARLETTA, LOU",REP,2016,PA,H,11.0,I,C,C00445122,HAZLETON,PA,18201.0,199421,313221,0.636678255927923,1
634,H6CA46116,"CORREA, JOSE LUIS (LOU) MR.",DEM,2016,CA,H,46.0,O,C,C00578302,SANTA ANA,CA,927657061.0,115248,164593,0.7001998869939791,1
635,H4TX04039,"GOHMERT, LOUIS B. MR. JR.",REP,2016,TX,H,1.0,I,C,C00386532,TYLER,TX,75711.0,192434,260409,0.7389683152272003,1
638,H6VA10209,"BENNETT, LUANN",DEM,2016,VA,H,10.0,C,P,C00595116,MCLEAN,VA,22101.0,187712,400083,0.46918264460124526,0
639,H2CA33048,"ROYBAL-ALLARD, LUCILLE",DEM,2016,CA,H,40.0,I,C,C00259143,LOS ANGELES,CA,90012.0,106554,149297,0.7137048969503741,1
640,H2IL08039,"GUTIERREZ, LUIS V",DEM,2016,IL,H,4.0,I,C,C00254581,CHICAGO,IL,60641.0,171297,171297,1.0,1
641,H0IN02125,"MESSER, ALLEN LUCAS",REP,2016,IN,H,6.0,I,C,C00460667,SHELBYVILLE,IN,46176.0,204920,296385,0.691398012719942,1
642,H6FL23097,"MILSTEIN, LYLE",NPA,2016,FL,H,23.0,C,C,C00620278,DAVIE,FL,33331.0,3897,323120,0.012060534785838078,0
643,H6IN02155,"COLEMAN, LYNN CARNELL",DEM,2016,IN,H,2.0,C,P,C00597641,SOUTH BEND,IN,46614.0,102401,277357,0.36920286850521167,0
644,H8KS02090,"JENKINS, LYNN",REP,2016,KS,H,2.0,I,C,C00433730,TOPEKA,KS,666011441.0,181228,297401,0.6093725306908854,1
645,H6VA03089,"WILLIAMS, MARTIN L. MR.",REP,2016,VA,H,3.0,C,P,C00612770,CHESAPEAKE,VA,23321.0,103289,312340,0.33069411538707816,0
646,H2TX33099,"MITCHELL, MONTE MARK",REP,2016,TX,H,33.0,C,P,C00552950,FORT WORTH,TX,761127214.0,33222,126369,0.2628967547420649,0
647,H4TX13014,"THORNBERRY, MAC",REP,2016,TX,H,13.0,I,C,C00286187,CLARENDON,TX,792264430.0,199050,221242,0.8996935482412923,1
648,H6SC07018,"HYMAN, MAL",DEM,2016,SC,H,7.0,C,C,C00605667,HARTSVILLE,SC,29551.0,6747,289463,0.023308678483951316,0
649,H2TX33073,"VEASEY, MARC ALLISON MR.",DEM,2016,TX,H,33.0,I,C,C00506832,FORT WORTH,TX,76105.0,93147,126369,0.7371032452579351,1
651,H8OH11141,"FUDGE, MARCIA L",DEM,2016,OH,H,11.0,I,C,C00454694,WARRENSVILLE HEIGH,OH,44122.0,242917,302686,0.8025379436115314,1
653,H2OH09031,"KAPTUR, MARCY C HON.",DEM,2016,OH,H,9.0,I,C,C00154625,TOLEDO,OH,43697.0,193966,282398,0.6868533063265321,1
655,H2FL25018,"DIAZ-BALART, MARIO",REP,2016,FL,H,25.0,I,C,C00376087,MIAMI,FL,331733512.0,157921,253240,0.6236021165692623,1
656,H4MD05144,"ARNESS, MARK KENNETH",REP,2016,MD,H,5.0,C,C,C00574939,PORT REPUBLIC,MD,20676.0,105931,360634,0.2937354769655662,0
659,H4MA09052,"ALLIEGRO, MARK C",REP,2016,MA,H,9.0,C,P,C00607770,EAST FALMOUTH,MA,2536.0,127803,403642,0.31662463271909264,0
660,H6IL13121,"WICKLUND, MARK DAVID",DEM,2016,IL,H,13.0,C,P,C00587287,DECATUR,IL,62521.0,126811,314394,0.40335057284808234,0
662,H0CA10073,"DESAULNIER, MARK",DEM,2016,CA,H,11.0,I,C,C00554709,CONCORD,CA,94524.0,214868,298209,0.7205282201409079,1
663,H2NV02395,"AMODEI, MARK EUGENE",REP,2016,NV,H,2.0,I,C,C00496760,CARSON CITY,,89703.0,182676,313336,0.5830035489059667,1
664,H4TX22163,"GIBSON, MARK",DEM,2016,TX,H,22.0,C,C,C00597005,MISSOURI CITY,TX,77459.0,123679,305543,0.4047842693172483,0
665,H6MS04192,"GLADNEY, MARK DEY",DEM,2016,MS,H,4.0,C,C,C00604694,GULFPORT,MS,39505.0,77505,278779,0.2780159194200424,0
666,H0WV02104,"HUNT, MARK ALLEN",DEM,2016,WV,H,2.0,C,P,C00608737,CHARLESTON,WV,25302.0,101207,242014,0.4181865511912534,0
667,H6ME01207,"HOLBROOK, MARK IRVING DR",REP,2016,ME,H,1.0,C,C,C00592469,BRUNSWICK,ME,4011.0,164569,406942,0.40440406741009777,0
669,H0TN08329,"RAWLES , MARK J.",IND,2016,TN,H,8.0,O,N,C00483545,JACKSON,TN,38301.0,2445,282733,0.008647734788652191,0
672,H2NC11080,"MEADOWS, MARK R",REP,2016,NC,H,11.0,I,C,C00503094,HENDERSONVILLE,NC,287930811.0,230405,359508,0.6408897715767103,1
673,H6MD03441,"PLASTER, MARK LEROY MD",REP,2016,MD,H,3.0,C,P,C00573386,ANNAPOLIS,MD,21401.0,115048,339675,0.33870022815926987,0
674,H2WI02124,"POCAN, MARK",DEM,2016,WI,H,2.0,I,C,C00502179,MADISON,WI,53701.0,273537,398060,0.6871753002059992,1
677,H4SC01073,"SANFORD, MARSHALL C. HON.",REP,2016,SC,H,1.0,I,C,C00285254,MOUNT PLEASANT,SC,294645312.0,190410,325170,0.585570624596365,1
678,H2CA43245,"TAKANO, MARK",DEM,2016,CA,H,41.0,I,C,C00498667,RIVERSIDE,CA,92517.0,128164,197323,0.6495137414290275,1
680,H4NC06052,"WALKER, BRADLEY MARK",REP,2016,NC,H,6.0,I,C,C00543231,GREENSBORO,NC,27438.0,207983,351150,0.5922910437135127,1
682,H2OK02083,"MULLIN, MARKWAYNE MR.",REP,2016,OK,H,2.0,I,C,C00498345,WESTVILLE,OK,74965.0,189839,268870,0.7060624093428051,1
683,H2TN06030,"BLACKBURN, MARSHA MRS.",REP,2016,TN,H,7.0,I,C,C00376939,BRENTWOOD,TN,370276209.0,200407,277513,0.7221535567703135,1
685,H2AZ08102,"MCSALLY, MARTHA E. MS.",REP,2016,AZ,H,2.0,I,C,C00512236,TUCSON,AZ,857319128.0,179806,315679,0.5695849264601066,1
690,H4PA07092,"BALCHUNIS, MARY ELLEN",DEM,2016,PA,H,7.0,C,C,C00560920,ARDMORE,PA,190031617.0,153824,379502,0.4053311972005418,0
691,H6WI07181,"HOEFT, MARY",DEM,2016,WI,H,7.0,C,P,C00616995,RICE LAKE,WI,54868.0,138643,362271,0.3827052123962448,0
693,H6NV01208,"PERRY, MARY D",REP,2016,NV,H,1.0,C,P,C00585844,LAS VEGAS,NV,89106.0,54174,188352,0.2876210499490316,0
696,H2PA17079,"CARTWRIGHT, MATT",DEM,2016,PA,H,17.0,I,C,C00509968,SCRANTON,PA,18501.0,157734,293164,0.5380401413543273,1
697,H4PA17141,"CONNOLLY, MATT",REP,2016,PA,H,17.0,C,P,C00558791,BETHLEHEM,PA,18020.0,135430,293164,0.46195985864567274,0
698,H6WV03091,"DETCH, MATTHEW PAUL",DEM,2016,WV,H,3.0,C,P,C00603654,LEWISBURG,WV,24901.0,49708,207332,0.23975073794686783,0
699,H6FL01119,"GAETZ, MATT",REP,2016,FL,H,1.0,O,C,C00612432,FORT WALTON BEACH,FL,32548.0,255107,369186,0.690998575243915,1
700,H6AZ02189,"HEINZ, MATTHEW",DEM,2016,AZ,H,2.0,,N,C00582221,TUCSON,AZ,85701.0,135873,315679,0.4304150735398934,0
703,H6MI09195,"ORLANDO, MATTHEW",LIB,2016,MI,H,9.0,C,N,C00617332,MADISON HEIGHTS,MI,48071.0,9563,344775,0.027736929881806975,0
704,H6IN05257,"WITTLIEF, MATTHEW",LIB,2016,IN,H,5.0,C,P,C00625608,CARMEL,IN,46032.0,15329,361135,0.042446730447062736,0
705,H4CA23011,"WATERS, MAXINE MS",DEM,2016,CA,H,43.0,I,C,C00167585,LOS ANGELES,CA,90044.0,167017,219516,0.7608420342936278,1
706,H6TN03152,"SHEKARI, MELODY",DEM,2016,TN,H,3.0,C,C,C00613513,CHATTANOOGA,TN,37408.0,76727,266006,0.28844086223619014,0
707,H6LA02215,"HOLDEN, MELVIN KIP",DEM,2016,LA,H,2.0,C,P,C00615153,BATON ROUGE,LA,70802.0,57125,284269,0.2009540259402186,0
708,H6NM02101,"SOULES, MERRIE LEE MS.",DEM,2016,NM,H,2.0,C,P,C00607762,LAS CRUCES,NM,88007.0,85232,228817,0.3724898062643947,0
709,H2UT04023,"LOVE, MIA",REP,2016,UT,H,4.0,I,C,C00505776,SARATOGA SPRINGS,UT,84045.0,147597,274569,0.5375588649847579,1
712,H2TX26093,"BURGESS, MICHAEL C. DR.",REP,2016,TX,H,26.0,I,C,C00372532,DENTON,TX,762022334.0,211730,319080,0.6635639964899085,1
713,H2SC04121,"CHANDLER, MICHAEL",CON,2016,SC,H,4.0,C,N,C00525345,INMAN,SC,29349.0,5103,295670,0.01725910643622958,0
714,H2TX36134,"COLE, MICHAEL K",DEM,2016,TX,H,14.0,,N,C00551523,ORANGE,TX,77632.0,99054,259685,0.38143905115813387,0
715,H4TX28061,"CARY, MICHAEL DWAIN",GRE,2016,TX,H,28.0,C,N,C00555003,SAN ANTONIO,TX,78225.0,4616,184442,0.02502683770507802,0
716,H8MA08071,"CAPUANO, MICHAEL E",DEM,2016,MA,H,7.0,I,C,C00336388,SOMERVILLE,MA,2145.0,253354,309645,0.8182079478112032,1
717,H4CA10075,"EGGMAN, MICHAEL RAY",DEM,2016,CA,H,10.0,C,C,C00543843,TURLOCK,CA,95380.0,116470,241141,0.48299542591264033,0
719,H6NM03067,"ROMERO, MICHAEL H",REP,2016,NM,H,3.0,C,C,C00586560,TAOS,,,102730,273342,0.3758295468680261,0
720,H8ID02064,"SIMPSON, MICHAEL",REP,2016,ID,H,2.0,I,C,C00331397,BLACKFOOT,ID,832211667.0,205292,326237,0.629272584041663,1
721,H6VA07130,"WADE, MICHAEL LEO",REP,2016,VA,H,4.0,C,P,C00597690,HENRICO,VA,23238.0,145731,346656,0.4203908197175298,0
722,H6OH06152,"LORENTZ, MICHAEL L",DEM,2016,OH,H,6.0,C,P,C00613273,BELPRE,OH,45714.0,88780,302755,0.2932404089114961,0
724,H2OH03067,"TURNER, MICHAEL R",REP,2016,OH,H,10.0,I,C,C00373001,DAYTON,OH,454296064.0,215724,336602,0.640887457590864,1
725,H4TX10093,"MCCAUL, MICHAEL",REP,2016,TX,H,10.0,I,C,C00392688,AUSTIN,TX,787012514.0,179221,312600,0.5733237364043506,1
726,H4OH14102,"WAGER, MICHAEL",DEM,2016,OH,H,14.0,C,P,C00538637,CHAGRIN FALLS,OH,44022.0,130907,350269,0.37373275967898956,0
727,H6OH01096,"YOUNG, MICHELE LORI",DEM,2016,OH,H,1.0,C,P,C00608133,CINCINNATI,OH,45243.0,144644,354788,0.40769135370982107,0
728,H8NM01257,"LUJAN GRISHAM, MICHELLE",DEM,2016,NM,H,1.0,I,C,C00501254,ALBUQUERQUE,NM,87107.0,181088,277967,0.6514730165811049,1
729,H0SC05031,"MULVANEY, JOHN MICHAEL 'MICK'",REP,2016,SC,H,5.0,I,C,C00471292,INDIAN LAND,SC,29707.0,161669,273006,0.5921811242243761,1
730,H8OR04134,"BEILSTEIN, MICHAEL ALLAN",OTH,2016,OR,H,4.0,C,N,C00450106,CORVALLIS,OR,97330.0,12194,397568,0.030671482614294913,0
731,H4MI08135,"BISHOP, MIKE",REP,2016,MI,H,8.0,I,C,C00561001,ROCHESTER,MI,483071014.0,205629,366968,0.5603458612195069,1
732,H4IL12060,"BOST, MICHAEL",REP,2016,IL,H,12.0,I,C,C00546499,MURPHYSBORO,IL,62966.0,169976,313002,0.543050843125603,1
733,H6TX31045,"CLARK, MIKE",DEM,2016,TX,H,31.0,C,C,C00592816,GEORGETOWN,TX,78626.0,103852,284588,0.3649205166767397,0
734,H8CO06138,"COFFMAN, MIKE REP.",REP,2016,CO,H,6.0,I,C,C00629287,GREENWOOD VILLAGE,CO,801111349.0,191626,376417,0.5090790267177093,1
737,H6WI08155,"GALLAGHER, MICHAEL JOHN",REP,2016,WI,H,8.0,O,C,C00610212,GREEN BAY,WI,54301.0,227892,363780,0.6264555500577272,1
741,H6WV01087,"MANYPENNY, MIKE",DEM,2016,WV,H,1.0,C,P,C00649699,GRAFTON,WV,26354.0,73534,237003,0.31026611477491844,0
742,H6PA11073,"MARSICANO, MICHAEL PAUL",DEM,2016,PA,H,11.0,C,P,C00580258,HAZLETON,PA,18202.0,113800,313221,0.3633217440720769,0
744,H6PA10141,"MOLESEVICH, MIKE",DEM,2016,PA,H,10.0,C,P,C00617688,LEWISBURG,PA,17837.0,89823,301105,0.29831122033842017,0
745,H0IL05096,"QUIGLEY, MIKE",DEM,2016,IL,H,5.0,I,C,C00457556,CHICAGO,IL,60614.0,212842,313724,0.6784370975762135,1
746,H8CA01109,"THOMPSON, MIKE MR.",DEM,2016,CA,H,5.0,I,C,C00326363,NAPA,CA,94581.0,224526,292091,0.7686851015608149,1
747,H2AZ04143,"WEISSER, MIKEL",DEM,2016,AZ,H,4.0,C,P,C00605741,GOLDEN VALLEY,AZ,86413.0,81296,284783,0.2854664779849921,0
748,H4CA45097,"WALTERS, MIMI",REP,2016,CA,H,45.0,I,C,C00546853,IRVINE,CA,92618.0,182618,311849,0.5855975167468871,1
750,H6CO05233,"PLOWRIGHT, MISTY",DEM,2016,CO,H,5.0,C,P,C00612226,COLORADO SPRINGS,CO,80922.0,111676,361993,0.30850320310061247,0
751,H0AL05163,"BROOKS, MO",REP,2016,AL,H,5.0,I,C,C00464149,HUNTSVILLE,AL,35802.0,205647,308326,0.6669791065301013,1
752,H4IA01077,"VERNON, MONICA W",DEM,2016,IA,H,1.0,C,P,C00571562,CEDAR RAPIDS,IA,52406.0,177403,384977,0.46081454216745416,0
753,H6CO06058,"CARROLL, MORGAN",DEM,2016,CO,H,6.0,C,P,C00580647,AURORA,CO,80011.0,160372,376417,0.4260487703796587,0
755,H6CA03117,"CLEEK, N EUGENE MD",REP,2016,CA,H,3.0,C,P,C00576348,ORLAND,CA,959630944.0,104453,256966,0.4064856829308158,0
757,H6KY06127,"KEMPER, NANCY JO",DEM,2016,KY,H,6.0,C,P,C00607291,LEXINGTON,KY,40517.0,128728,330827,0.3891097159542601,0
758,H8CA05035,"PELOSI, NANCY",DEM,2016,CA,H,12.0,I,C,C00213512,SAN FRANCISCO,CA,94104.0,274035,338845,0.8087326063539376,1
759,H6MD08598,"WALLACE, NANCY",GRE,2016,MD,H,8.0,O,P,C00620732,BETHESDA,MD,20814.0,11201,364324,0.030744611938823684,0
760,H6CA44103,"BARRAGAN, NANETTE",DEM,2016,CA,H,44.0,O,C,C00577353,SAN PEDRO,CA,90731.0,93124,178413,0.5219574806768565,1
762,H6FL02208,"DUNN, NEAL PATRICK MD, FACS",REP,2016,FL,H,2.0,O,C,C00582304,TALLAHASSEE,FL,32308.0,231163,343362,0.6732340794846255,1
764,H6CO02149,"MORSE, NICHOLAS GRANT MR.",REP,2016,CO,H,2.0,C,P,C00591164,FORT COLLINS,CO,80528.0,170001,457312,0.37173964383178226,0
765,H8MA05143,"TSONGAS, NICOLA S",DEM,2016,MA,H,3.0,I,C,C00433136,LOWELL,MA,1853.0,236713,360124,0.657309704435139,1
768,H2CO02122,"OLSEN, NORM",LIB,2016,CO,H,6.0,C,N,C00401638,LITTLETON ,CO,80122.0,18778,376417,0.049886163483583365,0
769,H4CA35031,"TORRES, NORMA",DEM,2016,CA,H,35.0,I,C,C00557652,POMONA,CA,91768.0,124044,171353,0.7239091232718423,1
770,H2NY00010,"VELAZQUEZ, NYDIA M",DEM,2016,NY,H,7.0,I,C,C00271312,BROOKLYN,NY,11231.0,165819,206983,0.8011237637873642,1
772,H6CA44145,"NAVARRO, OMAR",REP,2016,CA,H,43.0,O,N,C00592048,TORRANCE,CA,90501.0,52499,219516,0.2391579657063722,0
774,H6TX02160,"BRYAN, PAT",DEM,2016,TX,H,2.0,C,C,C00599043,HOUSTON,TX,77019.0,100231,278236,0.3602373524633764,0
775,H6MD02211,"MCDONOUGH, PATRICK L",REP,2016,MD,H,2.0,C,P,C00607507,MIDDLE RIVER,MD,21220.0,102577,309480,0.3314495282409203,0
776,H6GA12031,"MCCRACKEN, TRICIA CARPENTER",DEM,2016,GA,H,12.0,C,P,C00614255,AUGUSTA,GA,309093134.0,99420,258912,0.38399147200593253,0
778,H0OH12062,"TIBERI, PATRICK J.",REP,2016,OH,H,12.0,I,C,C00347492,GALENA,OH,430218059.0,251266,377534,0.6655453548554567,1
779,H6CA50258,"MALLOY, JEFFREY PATRICK",DEM,2016,CA,H,50.0,C,C,C00607325,ESCONDIDO,CA,92030.0,103646,283583,0.3654873529090249,0
780,H0PA07082,"MEEHAN, PATRICK L. MR.",REP,2016,PA,H,7.0,I,C,C00466870,DREXEL HILL,PA,190262501.0,225678,379502,0.5946688027994582,1
781,H4NC10047,"MCHENRY, PATRICK TIMOTHY",REP,2016,NC,H,10.0,I,C,C00393629,DENVER,NC,280378018.0,220825,349744,0.6313903883983714,1
782,H0AZ01259,"GOSAR, PAUL DR.",REP,2016,AZ,H,4.0,I,P,C00461806,PRESCOTT,AZ,86302.0,203487,284783,0.714533522015008,1
783,H2AZ04127,"BABEU, PAUL RAYMOND",REP,2016,AZ,H,1.0,O,P,C00588673,SAN TAN VALLEY,AZ,85143.0,121745,280710,0.43370382245021555,0
785,H4CA31071,"CHABOT, PAUL R DR.",REP,2016,CA,H,31.0,C,P,C00557884,RCH CUCAMONGA,CA,917392574.0,94866,215936,0.43932461470065204,0
787,H2CA08164,"COOK, PAUL",REP,2016,CA,H,8.0,I,C,C00512202,YUCCA VALLEY,CA,922860365.0,136972,220007,0.6225801906302981,1
789,H8WI01024,"RYAN, PAUL D.",REP,2016,WI,H,1.0,I,C,C00330894,JANESVILLE,WI,535470771.0,230072,354245,0.64947141102909,1
790,H6MA09180,"HARRINGTON, PAUL J.",NNE,2016,MA,H,9.0,C,P,C00622605,CHATHAM,MA,2633.0,26233,403642,0.06499075913804807,0
792,H4MI04118,"MITCHELL, PAUL III",REP,2016,MI,H,10.0,O,C,C00581090,DRYDEN,MI,48428.0,215132,340983,0.6309170838428896,1
795,H4FL22110,"SPAIN, PAUL DOUGLAS MR.",REP,2016,FL,H,21.0,O,C,C00564948,JUPITER,FL,33458.0,118038,335861,0.35144896251723184,0
797,H2IL12130,"BRADSHAW, PAULA",GRE,2016,IL,H,12.0,C,N,C00527952,CARBONDALE,IL,62901.0,18780,313002,0.05999961661586827,0
798,H6SD01091,"HAWKS, PAULA",DEM,2016,SD,H,0.0,C,P,C00582692,SIOUX FALLS,SD,57101.0,132810,369973,0.3589721412103045,0
800,H6IN03286,"SNYDER, PEPPER",LIB,2016,IN,H,3.0,O,N,C00618405,HUNTINGTON,IN,46750.0,19828,287247,0.06902770089852983,0
801,H2CA31125,"AGUILAR, PETE",DEM,2016,CA,H,31.0,I,C,C00510461,SAN BERNARDINO,CA,92423.0,121070,215936,0.5606753852993479,1
802,H6NC06099,"GLIDEWELL, POWELL WATKINS ""PETE"" III",DEM,2016,NC,H,6.0,C,P,C00589473,ELON,NC,27244.0,143167,351150,0.40770895628648723,0
803,H8TX22107,"OLSON, PETER G.",REP,2016,TX,H,22.0,I,C,C00437913,SUGAR LAND,TX,774792455.0,181864,305543,0.5952157306827517,1
805,H2TX03126,"SESSIONS, PETE MR.",REP,2016,TX,H,32.0,I,C,C00303305,DALLAS,TX,753823047.0,162868,229171,0.71068328889781,1
806,H6IL08170,"DICIANNI, PETER",REP,2016,IL,H,8.0,O,P,C00589036,ELMHURST,IL,60126.0,103617,248571,0.4168507187081357,0
807,H6OR04047,"DEFAZIO, PETER A",DEM,2016,OR,H,4.0,I,C,C00215905,SPRINGFIELD,OR,97477.0,220628,397568,0.5549440598840953,1
808,H6UT01137,"CLEMENS, PETER C",DEM,2016,UT,H,1.0,C,P,C00605519,NORTH OGDEN,UT,84414.0,73380,277451,0.26447913325235806,0
809,H6IL06117,"ROSKAM, PETER",REP,2016,IL,H,6.0,I,C,C00410969,WHEATON,IL,60187.0,208555,352146,0.5922401503921669,1
810,H4IN01012,"VISCLOSKY, PETER J.",DEM,2016,IN,H,1.0,I,C,C00166504,MERRILLVILLE,IN,46411.0,207515,254583,0.8151172702026451,1
811,H6NJ07151,"JACOB, PETER MR.",DEM,2016,NJ,H,7.0,C,C,C00595694,UNION,NJ,7083.0,148188,343635,0.4312366318913964,0
813,H8WI02121,"THERON, DANIEL PETER",REP,2016,WI,H,2.0,C,P,C00450353,MADISON,WI,53713.0,124044,398060,0.3116213636135256,0
814,H6VT00160,"WELCH, PETER",DEM,2016,VT,H,0.0,I,C,C00413179,BURLINGTON,VT,5402.0,264414,320467,0.8250896348141931,1
815,H6TX01261,"GRAY, PHIL",LIB,2016,TX,H,1.0,C,N,C00691733,TYLER,TX,75710.0,5062,260409,0.019438652273922944,0
818,H6WA07458,"JAYAPAL, PRAMILA",DEM,2016,WA,H,7.0,O,C,C00605592,SEATTLE,WA,98118.0,212010,378754,0.5597564646181955,1
819,H6CA12175,"PICUS, PRESTON",IND,2016,CA,H,12.0,C,P,C00572073,SAN FRANCISCO,CA,94133.0,64810,338845,0.19126739364606235,0
822,H2AZ07070,"GRIJALVA, RAUL M",DEM,2016,AZ,H,3.0,I,C,C00374058,TUCSON,AZ,85702.0,148973,151035,0.9863475353394908,1
